objectid,filename,title,format,description,creator,date
img1594,img_1594.jpg,Japan flag cheesecake,image/jpeg,Strawberry cheesecake,"Fuller, Heather",2015-09-26
img0392,img_0392.jpg,Tofu salad,image/jpeg,"Tofu,tomato,and tiny silver fish salad","Fuller, Heather",2013-12-25
img0398,img_0398.jpg,Okonomiyaki,image/jpeg,Japanese pancake at a local restaurant,"Fuller, Heather",2013-12-25
img0429,img_0429.jpg,Personal tempura chef,image/jpeg,Chef preparing tempura for dinner,"Fuller, Heather",2013-12-29
img0431,img_0431.jpg,Course meal featuring sashimi,image/jpeg,Hamachi course,"Fuller, Heather",2013-12-29
